"CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","n"
"Arauca",-70.762773048,7.07773650197,233
"Armenia",-75.6762454094,4.53805331619,270
"Barranquilla",-74.8187880943,10.9796493947,464
"Bogota D.C.",-74.1139187163,4.62457504964,26329
"Bucaramanga",-73.132325231,7.12278728534,718
"Cali",-76.5263911952,3.40638218413,1204
"Cartagena de indias",-75.5115044653,10.182784623,318
"Cartagena de indias",-75.501229216,10.3988164844,37
"Cucuta",-72.5055909659,7.90526711655,465
"Florencia",-75.6079932658,1.61582907928,145
"Ibague",-75.1963501468,4.4396307255,644
"Inirida",-67.918283684,3.87032554774,12
"Leticia",-69.9406798289,-4.21202316969,81
"Manizales",-75.4904150625,5.05705056379,3722
"Medellin",-75.5770556256,6.24894080956,7214
"Mitu",-70.2349602618,1.25117078854,8
"Mocoa",-76.6519175009,1.14428450756,65
"Monteria",-76.1250820708,8.4570969832,355
"Neiva",-75.2779458694,2.93554559251,423
"Pasto",-77.1955147333,1.0557848325,1131
"Pereira",-75.7155099202,4.80888773215,351
"Popayan",-76.640426845,2.43835548047,255
"Quibdo",-76.6511246326,5.69234946505,202
"Riohacha",-72.9122712549,11.5291254274,56
"San andres",-81.6960414806,12.5829884179,160
"San jose del guaviare",-72.6400959977,2.57047809895,30
"Santa marta",-74.1883970496,11.2257031416,85
"Sincelejo",-75.385219416,9.30015762595,193
"Tunja",-73.3543638186,5.53937063584,715
"Valledupar",-73.2586483431,10.4615184337,296
"Villavicencio",-73.626877897,4.12295758045,595
"Yopal",-72.3937905332,5.33249117563,114
