"YEAR_SEMESTER","EDAD_MOD","NIVEL","SEDE_NOMBRE_MAT","n"
"2009 - 1",19,"Pregrado","Bogotá",1
"2009 - 1",20,"Pregrado","Bogotá",4
"2009 - 1",20,"Pregrado","Medellín",2
"2009 - 1",21,"Especialización","Manizales",1
"2009 - 1",21,"Pregrado","Bogotá",61
"2009 - 1",21,"Pregrado","Manizales",4
"2009 - 1",21,"Pregrado","Medellín",6
"2009 - 1",21,"Pregrado","Palmira",2
"2009 - 1",22,"Pregrado","Bogotá",206
"2009 - 1",22,"Pregrado","Manizales",41
"2009 - 1",22,"Pregrado","Medellín",63
"2009 - 1",22,"Pregrado","Palmira",2
"2009 - 1",23,"Especialización","Manizales",1
"2009 - 1",23,"Maestría","Bogotá",2
"2009 - 1",23,"Maestría","Manizales",1
"2009 - 1",23,"Maestría","Medellín",2
"2009 - 1",23,"Pregrado","Bogotá",377
"2009 - 1",23,"Pregrado","Manizales",83
"2009 - 1",23,"Pregrado","Medellín",149
"2009 - 1",23,"Pregrado","Palmira",9
"2009 - 1",24,"Especialización","Bogotá",5
"2009 - 1",24,"Especialización","Manizales",2
"2009 - 1",24,"Especialización","Medellín",1
"2009 - 1",24,"Maestría","Bogotá",9
"2009 - 1",24,"Maestría","Medellín",1
"2009 - 1",24,"Pregrado","Bogotá",356
"2009 - 1",24,"Pregrado","Manizales",85
"2009 - 1",24,"Pregrado","Medellín",125
"2009 - 1",24,"Pregrado","Palmira",9
"2009 - 1",25,"Especialidades Médicas","Bogotá",1
"2009 - 1",25,"Especialización","Bogotá",18
"2009 - 1",25,"Especialización","Medellín",5
"2009 - 1",25,"Maestría","Bogotá",11
"2009 - 1",25,"Maestría","Manizales",1
"2009 - 1",25,"Maestría","Medellín",4
"2009 - 1",25,"Pregrado","Bogotá",241
"2009 - 1",25,"Pregrado","Manizales",58
"2009 - 1",25,"Pregrado","Medellín",76
"2009 - 1",25,"Pregrado","Palmira",6
"2009 - 1",26,"Especialidades Médicas","Bogotá",2
"2009 - 1",26,"Especialización","Bogotá",21
"2009 - 1",26,"Especialización","Manizales",2
"2009 - 1",26,"Especialización","Medellín",9
"2009 - 1",26,"Maestría","Bogotá",19
"2009 - 1",26,"Maestría","Manizales",2
"2009 - 1",26,"Maestría","Medellín",5
"2009 - 1",26,"Pregrado","Bogotá",202
"2009 - 1",26,"Pregrado","Manizales",32
"2009 - 1",26,"Pregrado","Medellín",55
"2009 - 1",26,"Pregrado","Palmira",2
"2009 - 1",27,"Especialidades Médicas","Bogotá",3
"2009 - 1",27,"Especialización","Bogotá",30
"2009 - 1",27,"Especialización","Medellín",6
"2009 - 1",27,"Maestría","Bogotá",23
"2009 - 1",27,"Maestría","Manizales",4
"2009 - 1",27,"Maestría","Medellín",9
"2009 - 1",27,"Pregrado","Bogotá",136
"2009 - 1",27,"Pregrado","Manizales",32
"2009 - 1",27,"Pregrado","Medellín",42
"2009 - 1",27,"Pregrado","Palmira",2
"2009 - 1",28,"Doctorado","Bogotá",1
"2009 - 1",28,"Especialidades Médicas","Bogotá",9
"2009 - 1",28,"Especialización","Bogotá",29
"2009 - 1",28,"Especialización","Manizales",1
"2009 - 1",28,"Especialización","Medellín",7
"2009 - 1",28,"Maestría","Bogotá",25
"2009 - 1",28,"Maestría","Manizales",1
"2009 - 1",28,"Maestría","Medellín",2
"2009 - 1",28,"Pregrado","Bogotá",104
"2009 - 1",28,"Pregrado","Manizales",17
"2009 - 1",28,"Pregrado","Medellín",19
"2009 - 1",28,"Pregrado","Palmira",3
"2009 - 1",29,"Especialidades Médicas","Bogotá",22
"2009 - 1",29,"Especialización","Bogotá",28
"2009 - 1",29,"Especialización","Manizales",4
"2009 - 1",29,"Especialización","Medellín",9
"2009 - 1",29,"Maestría","Bogotá",27
"2009 - 1",29,"Maestría","Medellín",11
"2009 - 1",29,"Maestría","Palmira",1
"2009 - 1",29,"Pregrado","Bogotá",71
"2009 - 1",29,"Pregrado","Manizales",12
"2009 - 1",29,"Pregrado","Medellín",15
"2009 - 1",29,"Pregrado","Palmira",2
"2009 - 1",30,"Doctorado","Bogotá",1
"2009 - 1",30,"Especialidades Médicas","Bogotá",16
"2009 - 1",30,"Especialización","Bogotá",21
"2009 - 1",30,"Especialización","Manizales",3
"2009 - 1",30,"Especialización","Medellín",12
"2009 - 1",30,"Maestría","Bogotá",22
"2009 - 1",30,"Maestría","Medellín",11
"2009 - 1",30,"Pregrado","Bogotá",54
"2009 - 1",30,"Pregrado","Manizales",12
"2009 - 1",30,"Pregrado","Medellín",14
"2009 - 1",30,"Pregrado","Palmira",2
"2009 - 1",31,"Especialidades Médicas","Bogotá",13
"2009 - 1",31,"Especialización","Bogotá",13
"2009 - 1",31,"Especialización","Manizales",1
"2009 - 1",31,"Especialización","Medellín",4
"2009 - 1",31,"Maestría","Bogotá",21
"2009 - 1",31,"Maestría","Manizales",1
"2009 - 1",31,"Maestría","Medellín",3
"2009 - 1",31,"Maestría","Palmira",2
"2009 - 1",31,"Pregrado","Bogotá",40
"2009 - 1",31,"Pregrado","Manizales",9
"2009 - 1",31,"Pregrado","Medellín",11
