"YEAR_SEMESTER","SEDE_NOMBRE_MAT","n"
"2009 - 1","Amazonía",1
"2009 - 1","Bogotá",3323
"2009 - 1","Manizales",468
"2009 - 1","Medellín",981
"2009 - 1","Palmira",183
"2009 - 2","Amazonía",5
"2009 - 2","Bogotá",2042
"2009 - 2","Manizales",447
"2009 - 2","Medellín",412
"2009 - 2","Palmira",202
"2010 - 1","Amazonía",7
"2010 - 1","Bogotá",3441
"2010 - 1","Manizales",485
"2010 - 1","Medellín",1153
"2010 - 1","Palmira",187
"2010 - 2","Amazonía",8
"2010 - 2","Bogotá",1924
"2010 - 2","Manizales",452
"2010 - 2","Medellín",814
"2010 - 2","Palmira",164
"2011 - 1","Amazonía",10
"2011 - 1","Bogotá",2850
"2011 - 1","Caribe",11
"2011 - 1","Manizales",427
"2011 - 1","Medellín",867
"2011 - 1","Palmira",184
"2011 - 2","Amazonía",12
"2011 - 2","Bogotá",2382
"2011 - 2","Caribe",1
"2011 - 2","Manizales",460
"2011 - 2","Medellín",365
"2011 - 2","Palmira",97
"2012 - 1","Amazonía",3
"2012 - 1","Bogotá",1931
"2012 - 1","Manizales",399
"2012 - 1","Medellín",839
"2012 - 1","Palmira",101
"2012 - 2","Amazonía",3
"2012 - 2","Bogotá",3158
"2012 - 2","Caribe",1
"2012 - 2","Manizales",463
"2012 - 2","Medellín",1065
"2012 - 2","Palmira",171
"2013 - 1","Amazonía",4
"2013 - 1","Bogotá",1780
"2013 - 1","Manizales",395
"2013 - 1","Medellín",839
"2013 - 1","Palmira",161
"2013 - 2","Amazonía",10
"2013 - 2","Bogotá",2764
"2013 - 2","Caribe",4
"2013 - 2","Manizales",498
"2013 - 2","Medellín",926
"2013 - 2","Palmira",197
"2014 - 1","Amazonía",5
"2014 - 1","Bogotá",2623
"2014 - 1","Manizales",408
"2014 - 1","Medellín",991
"2014 - 1","Palmira",158
"2014 - 2","Amazonía",3
"2014 - 2","Bogotá",2717
"2014 - 2","Caribe",3
"2014 - 2","Manizales",498
"2014 - 2","Medellín",935
"2014 - 2","Palmira",196
"2015 - 1","Amazonía",2
"2015 - 1","Bogotá",2551
"2015 - 1","Caribe",3
"2015 - 1","Manizales",486
"2015 - 1","Medellín",990
"2015 - 1","Palmira",236
"2015 - 2","Amazonía",6
"2015 - 2","Bogotá",2834
"2015 - 2","Caribe",3
"2015 - 2","Manizales",546
"2015 - 2","Medellín",1030
"2015 - 2","Palmira",212
"2016 - 1","Amazonía",1
"2016 - 1","Bogotá",2781
"2016 - 1","Caribe",2
"2016 - 1","Manizales",584
"2016 - 1","Medellín",1111
"2016 - 1","Palmira",227
"2016 - 2","Amazonía",5
"2016 - 2","Bogotá",2838
"2016 - 2","Caribe",3
"2016 - 2","Manizales",585
"2016 - 2","Medellín",1036
"2016 - 2","Palmira",235
"2017 - 1","Amazonía",1
"2017 - 1","Bogotá",3283
"2017 - 1","Caribe",2
"2017 - 1","Manizales",645
"2017 - 1","Medellín",1113
"2017 - 1","Palmira",238
"2017 - 2","Amazonía",2
"2017 - 2","Bogotá",2781
"2017 - 2","Caribe",8
"2017 - 2","Manizales",658
"2017 - 2","Medellín",1076
"2017 - 2","Palmira",274
"2018 - 1","Amazonía",3
"2018 - 1","Bogotá",3181
"2018 - 1","Manizales",621
"2018 - 1","Medellín",1022
"2018 - 1","Palmira",297
"2018 - 2","Amazonía",5
"2018 - 2","Bogotá",2891
"2018 - 2","Caribe",2
"2018 - 2","Manizales",652
"2018 - 2","Medellín",1106
"2018 - 2","Palmira",446
"2019 - 1","Amazonía",4
"2019 - 1","Bogotá",1756
"2019 - 1","Caribe",3
"2019 - 1","Manizales",272
"2019 - 1","Medellín",489
"2019 - 1","Palmira",166
"2019 - 2","Bogotá",4280
"2019 - 2","Caribe",3
"2019 - 2","Manizales",827
"2019 - 2","Medellín",1582
"2019 - 2","Palmira",304
"2020 - 1","Amazonía",7
"2020 - 1","Bogotá",3057
"2020 - 1","Caribe",4
"2020 - 1","Manizales",612
"2020 - 1","Medellín",1069
"2020 - 1","Palmira",177
