"dpto","mpio","codigos","LAT_CIU_NAC","LON_CIU_NAC"
"LA GUAJIRA","URIBIA","44-847","11.7152021401","-72.2657462846"
"LA GUAJIRA","MANAURE","44-560","11.7699944929","-72.4411882986"
"LA GUAJIRA","MAICAO","44-430","11.3774000042","-72.2430361521"
"LA GUAJIRA","RIOHACHA","44-001","11.5291254274","-72.9122712549"
"LA GUAJIRA","DIBULLA","44-090",NA,NA
"MAGDALENA","SANTA MARTA","47-001","11.2257031416","-74.1883970496"
"LA GUAJIRA","HATONUEVO","44-378","11.0672820787","-72.7625018015"
"LA GUAJIRA","BARRANCAS","44-078","10.9531042648","-72.7961870689"
"MAGDALENA","CIENAGA","47-189","11.0074328111","-74.241368069"
"ATLANTICO","BARRANQUILLA","08-001","10.9796493947","-74.8187880943"
"MAGDALENA","SITIONUEVO","47-745",NA,NA
"ATLANTICO","PUERTO COLOMBIA","08-573","10.9855255232","-74.9587617808"
"LA GUAJIRA","DISTRACCION","44-098",NA,NA
"LA GUAJIRA","FONSECA","44-279","10.8866438","-72.8504714896"
"LA GUAJIRA","SAN JUAN DEL CESAR","44-650","10.7707349804","-73.0017013871"
"MAGDALENA","PUEBLOVIEJO","47-570",NA,NA
"ATLANTICO","TUBARA","08-832","10.8739845528","-74.9786114088"
"ATLANTICO","GALAPA","08-296","10.9042960533","-74.8831352334"
"ATLANTICO","SOLEDAD","08-758","10.9056320841","-74.7923421864"
"ATLANTICO","MALAMBO","08-433","10.8125654841","-74.8411152764"
"ATLANTICO","JUAN DE ACOSTA","08-372","10.8299007844","-75.0321458392"
"CESAR","VALLEDUPAR","20-001","10.4615184337","-73.2586483431"
"MAGDALENA","ARACATACA","47-053","10.5906724298","-74.1858590204"
"ATLANTICO","BARANOA","08-078","10.7899331958","-74.9181077454"
"ATLANTICO","SABANAGRANDE","08-634","10.7907678504","-74.7568486996"
"ATLANTICO","POLONUEVO","08-558",NA,NA
"ATLANTICO","PIOJO","08-549","10.7403198534339","-75.1439353034664"
"ATLANTICO","USIACURI","08-849",NA,NA
"BOLIVAR","SANTA CATALINA","13-673",NA,NA
"ATLANTICO","SANTO TOMAS","08-685","10.7580629353","-74.7524390475"
"ATLANTICO","PALMAR DE VARELA","08-520","10.740602082","-74.7537459302"
"MAGDALENA","EL RETEN","47-268",NA,NA
"MAGDALENA","REMOLINO","47-605","10.7018473844","-74.716544936"
"ATLANTICO","SABANALARGA","08-638","10.6338334111","-74.9206251244"
"ATLANTICO","PONEDERA","08-560",NA,NA
"ATLANTICO","LURUACO","08-421","10.6108621963","-75.1423516448"
"BOLIVAR","CARTAGENA DE INDIAS","13-001","10.182784623","-75.5115044653"
"BOLIVAR","CARTAGENA DE INDIAS","13-001","10.3988164844","-75.501229216"
"CESAR","PUEBLO BELLO","20-570","10.4149687931","-73.5870059442"
"MAGDALENA","PIVIJAY","47-551","10.4613440094","-74.6153957047"
"LA GUAJIRA","VILLANUEVA","44-874","10.610184984","-72.9775939067"
"LA GUAJIRA","EL MOLINO","44-110","10.651063157","-72.9216582848"
"MAGDALENA","FUNDACION","47-288","10.5138500419","-74.1911819159"
"BOLIVAR","CLEMENCIA","13-222",NA,NA
"ATLANTICO","REPELON","08-606","10.4943070644","-75.1245913597"
"MAGDALENA","SALAMINA","47-675",NA,NA
"ATLANTICO","CANDELARIA","08-141","10.4591778633","-74.8791248338"
"LA GUAJIRA","URUMITA","44-855","10.5599833381","-73.0133716879"
"ATLANTICO","MANATI","08-436",NA,NA
"BOLIVAR","SANTA ROSA","13-683","10.4454727189","-75.3691024298"
"BOLIVAR","VILLANUEVA","13-873","10.610184984","-72.9775939067"
"MAGDALENA","EL PIÑON","47-258","10.4010789014","-74.8251113994"
"ATLANTICO","CAMPO DE LA CRUZ","08-137",NA,NA
"CESAR","LA PAZ","20-621","10.3864677933","-73.1726913052"
"BOLIVAR","SAN ESTANISLAO","13-647","10.3982507972","-75.1500702017"
"CESAR","MANAURE","20-443","10.3907483154","-73.028834101"
"BOLIVAR","SOPLAVIENTO","13-760",NA,NA
"BOLIVAR","SAN CRISTOBAL","13-620",NA,NA
"BOLIVAR","TURBACO","13-836","10.3357902885","-75.4155469089"
"CESAR","EL COPEY","20-238","10.1491321093","-73.9613702508"
"ATLANTICO","SANTA LUCIA","08-675",NA,NA
"MAGDALENA","CERRO SAN ANTONIO","47-161","10.3262615876","-74.8687983704"
"BOLIVAR","CALAMAR","13-140","10.2510248106","-74.9138095675"
"CESAR","SAN DIEGO","20-750","10.3336927783","-73.1807287956"
"ATLANTICO","SUAN","08-770",NA,NA
"BOLIVAR","ARJONA","13-052","10.2572499523","-75.3455275963"
"BOLIVAR","MAHATES","13-433","10.2331675046","-75.1906885946"
"BOLIVAR","TURBANA","13-838","10.2707782012","-75.4443201111"
"MAGDALENA","PEDRAZA","47-541","10.1869655901","-74.916535341"
"MAGDALENA","CHIVOLO","47-170",NA,NA
"CESAR","AGUSTIN CODAZZI","20-013","10.0403645547","-73.2374314486"
"BOLIVAR","EL GUAMO","13-248",NA,NA
"SUCRE","SAN ONOFRE","70-713","9.73339187649","-75.530327312"
"BOLIVAR","SAN JUAN NEPOMUCENO","13-657","9.95138127677","-75.0836663042"
"BOLIVAR","MARIA LA BAJA","13-442","10.0519818532","-75.2681654757"
"CESAR","BOSCONIA","20-060","9.97437199423","-73.888041926"
"MAGDALENA","TENERIFE","47-798",NA,NA
"MAGDALENA","PLATO","47-555","9.79340260608","-74.7836448308"
"MAGDALENA","ARIGUAINI","47-058","9.84737240107","-74.2362155595"
"CESAR","BECERRIL","20-045","9.70413367081","-73.2781073363"
"BOLIVAR","SAN JACINTO","13-654","9.83065775253","-75.1217447993"
"BOLIVAR","EL CARMEN DE BOLIVAR","13-244","9.71803422099","-75.1211388325"
"CESAR","EL PASO","20-250",NA,NA
"BOLIVAR","ZAMBRANO","13-894","9.75140245083","-74.8258813861"
"MAGDALENA","SANTA ANA","47-707","9.32286178066","-74.56741811"
"MAGDALENA","PIJIÑO DEL CARMEN","47-545",NA,NA
"SUCRE","OVEJAS","70-508","9.52598596406","-75.2288076868"
"CESAR","LA JAGUA DE IBIRICO","20-400","9.56286705626","-73.3355518107"
"SUCRE","CHALAN","70-230",NA,NA
"BOLIVAR","CORDOBA","13-212","0.853665965806","-77.51806895"
"SUCRE","TOLUVIEJO","70-823","9.45318799461","-75.4395557882"
"SUCRE","COLOSO","70-204","9.49094661829","-75.3557164394"
"CESAR","CHIRIGUANA","20-178","9.36137942001","-73.6009132147"
"CESAR","ASTREA","20-032","9.49533435313","-73.9753900254"
