"CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","n"
"Abejorral",-75.4289204217,5.78953996024,18
"Abrego",-73.2214174328,8.08120418381,10
"Abriaqui",-76.0631582653,6.6339560277,8
"Acacias",-73.7656023437,3.99101402796,51
"Acandi",-77.2786180632,8.5109498959,2
"Acevedo",-75.8919935956,1.8043274263,6
"Achi",-74.5258510585,8.44706004447,119
"Agrado",-75.7710499139,2.26001844092,1
"Agua de dios",-74.6695456055,4.37585313348,6
"Aguachica",-73.6013004495,8.31012096929,23
"Aguadas",-75.455726565,5.6126036828,50
"Aguazul",-72.5525853378,5.16998543064,21
"Agustin codazzi",-73.2374314486,10.0403645547,28
"Aipe",-75.2411436021,3.22356323875,6
"Alban",-74.4366988598,4.87608226929,8
"Albania",-75.8786522147,1.32903377181,1
"Alcala",-75.7756614608,4.67394189929,4
"Aldana",-77.7003748185,0.88224359638,20
"Alejandria",-75.1430974124,6.37447380153,9
"Algeciras",-75.3156946519,2.52255590499,13
"Almaguer",-76.8528174101,1.91525377527,7
"Alpujarra",-74.9325662896,3.39179995739,11
"Altamira",-75.7886555897,2.06340890548,2
"Alto baudo",-76.975714731,5.51548003909,4
"Alvarado",-74.9521517538,4.56816462109,5
"Amaga",-75.7076638080808,6.0326518277961,32
"Amalfi",-75.073147584,6.90887428957,28
"Ambalema",-74.7617986138,4.78538612936,1
"Anapoima",-74.5306692069,4.56299758972,4
"Ancuya",-77.5146115719,1.26245062268,40
"Andalucia",-76.164666371,4.17671561529,10
"Andes",-75.879251019,5.65688469544,45
"Angelopolis",-75.708330776,6.11188033761,8
"Angostura",-75.3349479888,6.88536619294,9
"Anolaima",-74.4637806503,4.76166116785,11
"Anori",-75.1084892603,7.1932116063,17
"Anserma",-75.7839965823,5.23807382965,40
"Ansermanuevo",-75.9916051896,4.79322314547,2
"Anza",-75.853713332,6.30223046843,4
"Anzoategui",-75.0932838261,4.63284669704,5
"Apartado",-76.6261859724,7.88271669622,72
"Apia",-75.941059973,5.1061188187,5
"Apulo",-74.5892974772,4.52796012335,4
"Aquitania",-72.8843505151,5.51831038891,7
"Aracataca",-74.1858590204,10.5906724298,35
"Aranzazu",-75.4907773111,5.27130438493,39
"Arauca",-70.762773048,7.07773650197,233
"Arauquita",-71.4276395909,7.02931365346,25
"Arbelaez",-74.4160840125,4.27225989155,21
"Arboleda",-77.1354496867,1.50342205984,3
"Arboledas",-72.7988340008,7.64269066476,3
"Arboletes",-76.4266804048,8.85000626596,15
"Arcabuco",-73.4396912192,5.75661447168,2
"Argelia",-77.2550909133,2.32514027006,15
"Ariguaini",-74.2362155595,9.84737240107,1
"Arjona",-75.3455275963,10.2572499523,5
"Armenia",-75.6762454094,4.53805331619,270
"Armero",-74.884169344,5.02900045806,15
