"YEAR","LON_CIU_NAC","LAT_CIU_NAC","DEP_NAC","CIU_NAC","n"
2009,"-67918283684","387032554774","GUAINIA","Inirida",1
2009,"-69.7985426682","4.4444876220899996","VICHADA","Cumaribo",1
2009,"-70.234960261799998","1.2511707885400001","VAUPES","Mitu",1
2009,"-702035675603","630339369864","ARAUCA","Cravo norte",2
2009,"-70762773048","707773650197","ARAUCA","Arauca",5
2009,"-71.662678650900006","5.4110162237599999","CASANARE","Trinidad",1
2009,"-71.731229887400005","5.4218395761","CASANARE","San luis de palenque",1
2009,"-717436532635","645653811474","ARAUCA","Tame",2
2009,"-718739494778","695387794066","ARAUCA","Saravena",2
2009,"-718917286791","588140262363","CASANARE","Paz de ariporo",1
2009,"-72.164224906499996","5.8290966485900002","CASANARE","Tamara",1
2009,"-72.195382649500004","5.6371293741299997","CASANARE","Nunchia",1
2009,"-72.470519245800006","7.84904659595","NORTE DE SANTANDER","Villa del rosario",1
2009,"-72.500600212999998","6.4597119739500002","BOYACA","Guacamayas",1
2009,"-72.554942865900003","6.4018342135299999","BOYACA","San mateo",1
2009,"-72.577594124499996","5.5623583420799996","BOYACA","Labranzagrande",1
2009,"-72.593288877999996","6.5067679848899997","SANTANDER","Macaravita",1
2009,"-72.664809710499995","7.13853760731","NORTE DE SANTANDER","Chitaga",1
2009,"-72.702566329800007","5.2938006717799997","BOYACA","Pajarito",1
2009,"-72.712069853599999","6.0932344040000004","BOYACA","Sativasur",1
2009,"-72.747736112300004","5.0131227893799997","CASANARE","Tauramena",1
2009,"-72.798834000799999","7.6426906647599999","NORTE DE SANTANDER","Arboledas",1
2009,"-72.833350555500004","5.76927431898","BOYACA","Topaga",1
2009,"-72.856084429500001","6.8768722814599998","SANTANDER","Guaca",1
2009,"-72.870741320899995","7.3093813606299998","SANTANDER","Vetas",1
2009,"-72.931630164400005","5.7784524164200004","BOYACA","Santana",1
2009,"-72.970462290100002","6.4753872690199996","SANTANDER","Mogotes",2
2009,"-72.993720395899999","5.6691208349600002","BOYACA","Firavitoba",1
2009,"-722430361521","113774000042","LA GUAJIRA","Maicao",1
2009,"-723937905332","533249117563","CASANARE","Yopal",5
2009,"-724454127648","641037802779","BOYACA","El cocuy",3
2009,"-724735580541","618742408063","BOYACA","Chita",1
2009,"-725055909659","790526711655","NORTE DE SANTANDER","Cucuta",59
2009,"-725525853378","516998543064","CASANARE","Aguazul",2
2009,"-725594378649","631679484036","BOYACA","La uvita",1
2009,"-726024502906","76025629692","NORTE DE SANTANDER","Chinacota",2
2009,"-72648211059","737519414845","NORTE DE SANTANDER","Pamplona",9
2009,"-726833174046","633365418585","BOYACA","Soata",6
2009,"-726916265433","599685874976","BOYACA","Socha",1
2009,"-72732133306","67021775212","SANTANDER","Malaga",10
2009,"-727359193717","863971770051","NORTE DE SANTANDER","Tibu",1
2009,"-727475252291","598807090613","BOYACA","Paz de rio",4
2009,"-728002051309","575283042742","BOYACA","Mongua",3
2009,"-728062102157","580283711498","BOYACA","Gameza",2
2009,"-728488798848","572336164372","BOYACA","Mongui",1
2009,"-728504714896","108866438","LA GUAJIRA","Fonseca",4
2009,"-728890956447","487941196756","CASANARE","Monterrey",1
2009,"-729122712549","115291254274","LA GUAJIRA","Riohacha",2
2009,"-72923236899","572486205266","BOYACA","Sogamoso",54
2009,"-729559283195","409347367871","META","Puerto lopez",1
2009,"-729775939067","10610184984","BOLIVAR","Villanueva",2
2009,"-729796484028","561235844867","BOYACA","Iza",1
2009,"-729823863595","587473860404","BOYACA","Santa rosa de viterbo",6
2009,"-73.168872270500003","4.8187050809700001","BOYACA","San luis de gaceno",1
2009,"-73.221417432799996","8.0812041838099997","NORTE DE SANTANDER","Abrego",1
2009,"-73.238139088400004","8.2135938264000004","NORTE DE SANTANDER","La playa",2
2009,"-73.270855505900002","6.8138440669099998","SANTANDER","Zapatoca",1
2009,"-73.350527907900002","4.5086538779599996","CUNDINAMARCA","Medina",2
2009,"-73.396744502600001","5.3161844652600001","BOYACA","Tibana",1
2009,"-73.410018280800003","6.8798133401100001","SANTANDER","San vicente de chucuri",2
2009,"-73.421651152300001","5.0768315662000001","BOYACA","Tenza",1
2009,"-73.433312229099997","4.9858093921800002","BOYACA","Somondoco",1
2009,"-73.4467753988","8.5107588243700008","NORTE DE SANTANDER","El carmen",2
2009,"-73.446929363400002","6.0274754890500004","BOYACA","Chitaraque",1
2009,"-73.474389992300004","6.29046114389","SANTANDER","Contratacion",2
2009,"-73.490118653300001","4.9668200875400004","BOYACA","Guayata",1
2009,"-73.504653802899995","5.0524459221100004","CUNDINAMARCA","Tibirita",1
2009,"-73.520632406399997","5.3692518826500004","BOYACA","Ventaquemada",2
2009,"-73.571314498099994","6.0263864286100004","SANTANDER","Guepsa",1
2009,"-73.596813596499999","5.21481263033","CUNDINAMARCA","Villapinzon",2
2009,"-73.606509154500003","5.0799154903000003","CUNDINAMARCA","Macheta",1
2009,"-73.617560271100004","5.93031783104","ANTIOQUIA","Barbosa",7
2009,"-73.637284063500005","6.0625898318500004","SANTANDER","Chipata",1
2009,"-73.752523317300003","3.12759895118","META","Vistahermosa",1
2009,"-73.794162875200001","3.5647190283399999","META","El castillo",1
2009,"-73.795809798799993","5.4040039104100002","CUNDINAMARCA","Fuquene",1
2009,"-73.819612402000004","5.3051642785800004","CUNDINAMARCA","Villa de san diego de ubate",5
2009,"-73.853008391399996","5.2473689617000003","CUNDINAMARCA","Sutatausa",2
2009,"-73.865310346399994","5.55446875145","ANTIOQUIA","Caldas",2
2009,"-73.872917556000004","4.9910503751800004","CUNDINAMARCA","Gachancipa",1
2009,"-73.878069050999997","4.8675487521700003","CUNDINAMARCA","Guasca",1
2009,"-73.922967190199998","4.5290158565300001","CUNDINAMARCA","Choachi",2
2009,"-73.923303998700007","5.6901643120300003","ANTIOQUIA","Briceño",1
2009,"-73.940999029300002","5.51174852719","BOYACA","Buenavista",1
2009,"-73.979391715000006","8.9983182735200007","MAGDALENA","El banco",2
2009,"-730017013871","107707349804","LA GUAJIRA","San juan del cesar",1
2009,"-730133716879","105599833381","LA GUAJIRA","Urumita",1
2009,"-730302686329","581936914099","BOYACA","Duitama",39
2009,"-73050663428","555868752792","BOYACA","Pesca",2
2009,"-730543082606","699547484173","SANTANDER","Piedecuesta",1
2009,"-731167437822","578048910058","BOYACA","Paipa",7
2009,"-731285702201","654927262478","SANTANDER","San gil",4
2009,"-73132325231","712278728534","SANTANDER","Bucaramanga",55
2009,"-7314486261","519594580009","BOYACA","Miraflores",6
2009,"-731466694378","628533512166","SANTANDER","Charala",1
2009,"-731845174634","556541863786","BOYACA","Toca",1
2009,"-732258853682","569072807998","BOYACA","Tuta",1
2009,"-732374314486","100403645547","CESAR","Agustin codazzi",4
2009,"-732586483431","104615184337","CESAR","Valledupar",24
2009,"-732611309592","646369097452","SANTANDER","Socorro",5
2009,"-733354655533","540117777129","BOYACA","Ramiriqui",1
2009,"-733371949282","846999501786","NORTE DE SANTANDER","Convencion",1
2009,"-733543638186","553937063584","BOYACA","Tunja",55
2009,"-733551957158","824666636498","NORTE DE SANTANDER","Ocaña",6
2009,"-733647669702","508228084885","BOYACA","Garagoa",10
2009,"-734403162236","609835314273","SANTANDER","Suaita",1
2009,"-73445010629","509555866963","BOYACA","La capilla",1
2009,"-73454200081","554301842098","BOYACA","Cucaita",1
2009,"-734722844817","500708724993","BOYACA","Guateque",3
2009,"-734859714562","549262740357","BOYACA","Samaca",1
2009,"-734885656969","532384575013","BOYACA","Turmeque",1
2009,"-735493153358","575196804738","BOYACA","Gachantiva",1
2009,"-735741080327","587376486789","BOYACA","Moniquira",4
2009,"-736009132147","936137942001","CESAR","Chiriguana",2
2009,"-73626877897","412295758045","META","Villavicencio",35
2009,"-73636486426","481632975702","CUNDINAMARCA","Gacheta",2
2009,"-736745204194","600758055992","SANTANDER","Velez",6
2009,"-736775097519","587819149232","SANTANDER","Puente nacional",3
2009,"-736832205258","514485856952","CUNDINAMARCA","Choconta",1
2009,"-736959721847","370161052639","META","San martin",1
2009,"-73698477557","35349351906","ANTIOQUIA","Granada",5
2009,"-737114452271","530602649574","CUNDINAMARCA","Lenguazaque",2
2009,"-737656023437","399101402796","META","Acacias",1
2009,"-737701203762","387974360369","MAGDALENA","Guamal",3
2009,"-738090987971","621938700028","SANTANDER","Landazuri",1
2009,"-738187107146","561485105697","BOYACA","Chiquinquira",12
2009,"-738333374514","493396486437","CUNDINAMARCA","Guatavita",3
2009,"-738501021221","550477875195","CUNDINAMARCA","Simijaca",2
2009,"-738524943961","706154842252","SANTANDER","Barrancabermeja",8
2009,"-738629352741","432984569491","CUNDINAMARCA","Quetame",1
2009,"-738927335149","448489559982","CUNDINAMARCA","Fomeque",2
2009,"-739009831039","534908578768","CUNDINAMARCA","Carmen de carupa",2
2009,"-739388852876","490694243699","CUNDINAMARCA","Sopo",2
2009,"-739465739177","440366546922","CUNDINAMARCA","Caqueza",3
2009,"-739613702508","101491321093","CESAR","El copey",1
2009,"-739701238854","472014400857","CUNDINAMARCA","La calera",4
2009,"-739924030664","502348294157","CUNDINAMARCA","Zipaquira",19
2009,"-74.004648807300001","5.5492927724900003","BOYACA","Maripi",1
2009,"-74.025207067899998","4.4026037584499997","CUNDINAMARCA","Une",1
2009,"-74.038254518100004","8.9371648134400008","BOLIVAR","San martin de loba",1
2009,"-74.044598173699995","4.4425307066700004","CUNDINAMARCA","Chipaque",1
2009,"-74.098475462300001","4.9164173473000004","CUNDINAMARCA","Tabio",2
2009,"-74.143451817100001","4.87171577268","CUNDINAMARCA","Tenjo",3
2009,"-74.191181915900003","10.5138500419","MAGDALENA","Fundacion",1
2009,"-74.379403726899994","4.76009498133","CUNDINAMARCA","Zipacon",1
2009,"-74.416084012499994","4.2722598915500001","CUNDINAMARCA","Arbelaez",4
2009,"-74.454288120900003","4.6353737211699997","CUNDINAMARCA","La mesa",2
2009,"-74.463780650299995","4.7616611678499998","CUNDINAMARCA","Anolaima",2
2009,"-74.477719533699997","4.0891663934100002","ANTIOQUIA","Venecia",1
2009,"-74.486734458699999","4.1912315262500002","CUNDINAMARCA","Pandi",1
2009,"-74.527998419100001","4.1741301430100002","TOLIMA","Icononzo",1
2009,"-74.586727982900001","8.9926133575100007","BOLIVAR","Magangue",2
2009,"-74.592714462000004","4.9477306006399999","CUNDINAMARCA","Chaguani",1
2009,"-74.621655904999997","4.8472531528699996","CUNDINAMARCA","San juan de rioseco",2
2009,"-74.634023566400003","5.8882084027700001","ANTIOQUIA","Puerto triunfo",1
2009,"-74.635902510600005","4.4609225189300004","CUNDINAMARCA","Tocaima",3
2009,"-74.652718122699994","5.4649792371199997","CUNDINAMARCA","Puerto salgar",1
2009,"-74.669545605500005","4.3758531334799997","CUNDINAMARCA","Agua de dios",3
2009,"-74.6932717766","4.0597468794599996","TOLIMA","Cunday",1
2009,"-74.833449314700005","10.257658450899999","ANTIOQUIA","Concordia",2
2009,"-74.876509660699995","4.5445057672300004","TOLIMA","Piedras",1
2009,"-74.884169344","5.0290004580599996","TOLIMA","Armero",1
2009,"-74.889179624199997","5.5752763720000003","CALDAS","Norcasia",1
2009,"-74.889335465399995","5.2001696300700004","TOLIMA","Mariquita",4
2009,"-74.910692632199996","5.3170644503500002","CALDAS","Victoria",2
2009,"-74.916535340999999","10.1869655901","MAGDALENA","Pedraza",2
2009,"-74.952151753799996","4.5681646210900002","TOLIMA","Alvarado",1
2009,"-740443664191","33822458552","META","Mesetas",2
2009,"-740496481882","486580207151","CUNDINAMARCA","Chia",18
2009,"-741030009907","553127931395","BOYACA","Muzo",2
2009,"-741139187163","462457504964","BOGOTA D.C","Bogota d.c.",2496
2009,"-741461795404","51508200093","CUNDINAMARCA","Pacho",2
2009,"-741883970496","112257031416","MAGDALENA","Santa marta",11
2009,"-741949015405","458639001648","CUNDINAMARCA","Soacha",8
2009,"-742019793976","470865653894","CUNDINAMARCA","Funza",5
2009,"-742193898159","130930863408","CAQUETA","San vicente del caguan",1
2009,"-74241368069","110074328111","MAGDALENA","Cienaga",3
2009,"-74258749391","448787134322","CUNDINAMARCA","Sibate",2
2009,"-742667554524","473284520314","CUNDINAMARCA","Madrid",5
2009,"-743049760038","431027283605","CUNDINAMARCA","Pasca",2
2009,"-743510146905","481224201458","CUNDINAMARCA","Facatativa",22
2009,"-743663679701","433774814193","CUNDINAMARCA","Fusagasuga",19
2009,"-743774736098","506941560618","CUNDINAMARCA","Nocaima",1
2009,"-744046363087","64900665391","ANTIOQUIA","Puerto berrio",3
2009,"-744257994296","924102197372","BOLIVAR","Mompos",2
2009,"-744366988598","487608226929","CUNDINAMARCA","Alban",1
2009,"-74442739512","457826466852","CUNDINAMARCA","El colegio",4
2009,"-744728933192","500942832997","CUNDINAMARCA","Villeta",2
2009,"-744921952724","534357122073","CUNDINAMARCA","Caparrapi",1
2009,"-745229563819","444050176757","CUNDINAMARCA","Viota",1
2009,"-7456741811","932286178066","MAGDALENA","Santa ana",1
2009,"-745750541387","597331379456","BOYACA","Puerto boyaca",2
