"EXAMEN","CANTIDADEVALUADOS","NOMBRE_PRUEBA","NOMBRE_SEDE","ID_PROGRAMA_ACAD","NOMBRE_PROGRAMA_ACAD","NOMBRE_GRUPOREF","PROMEDIO_PRUEBA"
"SABER PRO - 2019",67,"Competencias Ciudadanas","Manizales",2655,"Arquitectura","Arquitectura Y Urbanismo",162
"SABER PRO - 2019",40,"Comunicación Escrita","Medellín",1916,"Construccion","Arquitectura Y Urbanismo",137
"SABER PRO - 2019",104,"Análisis De Problemáticas Psicológicas","Bogotá",55,"Psicologia","Psicología",194
"SABER PRO - 2019",51,"Lectura Crítica","Medellín",2555,"Ingenieria Ambiental","Ingeniería",183
"SABER PRO - 2019",84,"Razonamiento Cuantitativo","Bogotá",3667,"Ingenieria Mecanica","Ingeniería",206
"SABER PRO - 2019",81,"Comunicación Escrita","Manizales",4686,"Ingenieria Electrica","Ingeniería",141
"SABER PRO - 2019",53,"Formulación De Proyectos De Ingeniería","Bogotá",468,"Ingenieria Electronica","Ingeniería",162
"SABER PRO - 2019",67,"Comunicación Escrita","Bogotá",2208,"Odontologia","Salud",146
"SABER PRO - 2019",51,"Lectura Crítica","Bogotá",3761,"Ingenieria Agricola","Ingeniería",175
"SABER PRO - 2019",9,"Razonamiento Cuantitativo","Medellín",521,"Matematicas","Ciencias Naturales Y Exactas",191
"SABER PRO - 2019",16,"Pensamiento Científico - Ciencias Biológicas","Medellín",5177,"Ingenieria Agricola","Ingeniería",160
"SABER PRO - 2019",11,"Comunicación Escrita","Bogotá",4167,"Terapia Ocupacional","Salud",176
"SABER PRO - 2019",138,"Pensamiento Científico - Ciencias Físicas","Medellín",5516,"Ingenieria Civil","Ingeniería",153
"SABER PRO - 2019",68,"Competencias Ciudadanas","Medellín",868,"Ingenieria De Minas Y Metalurgia","Ingeniería",166
"SABER PRO - 2019",42,"Formar","Bogotá",15721,"Español Y Filologia Clasica","Bellas Artes Y Diseño",186
"SABER PRO - 2019",101,"Lectura Crítica","Bogotá",6810,"Arquitectura","Arquitectura Y Urbanismo",179
"SABER PRO - 2019",62,"Lectura Crítica","Palmira",4789,"Ingenieria Agronomica","Ciencias Agropecuarias",157
"SABER PRO - 2019",114,"Comunicación Escrita","Bogotá",5552,"Economia","Economía",167
"SABER PRO - 2019",43,"Competencias Ciudadanas","Bogotá",2794,"Artes Plasticas","Bellas Artes Y Diseño",175
"SABER PRO - 2019",31,"Comunicación Escrita","Bogotá",4306,"Historia","Humanidades",161
"SABER PRO - 2019",87,"Comunicación Escrita","Bogotá",3788,"Antropologia","Ciencias Sociales",166
"SABER PRO - 2019",96,"Comunicación Escrita","Bogotá",5101,"Ingenieria Electrica","Ingeniería",148
"SABER PRO - 2019",38,"Lectura Crítica","Palmira",3728,"Ingenieria Agricola","Ingeniería",151
"SABER PRO - 2019",87,"Lectura Crítica","Bogotá",1875,"Filologia E Idiomas","Humanidades",191
"SABER PRO - 2019",62,"Comunicación Escrita","Palmira",4789,"Ingenieria Agronomica","Ciencias Agropecuarias",146
"SABER PRO - 2019",47,"Comunicación Escrita","Bogotá",4305,"Geografia","Ciencias Sociales",164
"SABER PRO - 2019",123,"Lectura Crítica","Bogotá",6811,"Derecho","Derecho",196
"SABER PRO - 2019",150,"Diseño De Procesos Industriales","Bogotá",4280,"Ingenieria Quimica","Ingeniería",176
"SABER PRO - 2019",104,"Formulación De Proyectos De Ingeniería","Bogotá",2644,"Ingenieria De Sistemas","Ingeniería",167
"SABER PRO - 2019",105,"Razonamiento Cuantitativo","Bogotá",2644,"Ingenieria De Sistemas","Ingeniería",203
"SABER PRO - 2019",83,"Razonamiento Cuantitativo","Medellín",4643,"Arquitectura","Arquitectura Y Urbanismo",177
"SABER PRO - 2019",47,"Competencias Ciudadanas","Bogotá",4305,"Geografia","Ciencias Sociales",182
"SABER PRO - 2019",99,"Estudio Proyectual","Bogotá",6810,"Arquitectura","Arquitectura Y Urbanismo",194
"SABER PRO - 2019",21,"Atención En Salud","Bogotá",4166,"Fonoaudiologia","Salud",168
"SABER PRO - 2019",46,"Comunicación Escrita","Bogotá",519,"Fisica","Ciencias Naturales Y Exactas",166
"SABER PRO - 2019",58,"Pensamiento Científico - Matemáticas Y Estadística","Bogotá",3666,"Ingenieria Industrial","Ingeniería",172
"SABER PRO - 2019",53,"Investigación En Ciencias Sociales","Medellín",3787,"Ciencia Política","Ciencias Sociales",172
"SABER PRO - 2019",150,"Pensamiento Científico - Química","Bogotá",4280,"Ingenieria Quimica","Ingeniería",177
"SABER PRO - 2019",56,"Competencias Ciudadanas","Bogotá",468,"Ingenieria Electronica","Ingeniería",176
"SABER PRO - 2019",104,"Gestión Financiera","Bogotá",5551,"Administracion De Empresas","Administración Y Afines",186
"SABER PRO - 2019",43,"Razonamiento Cuantitativo","Medellín",3786,"Ingenieria Fisica","Ciencias Naturales Y Exactas",203
"SABER PRO - 2019",79,"Formulación De Proyectos De Ingeniería","Medellín",428,"Ingenieria Mecanica","Ingeniería",160
"SABER PRO - 2019",53,"Razonamiento Cuantitativo","Medellín",3787,"Ciencia Política","Ciencias Sociales",165
"SABER PRO - 2019",31,"Competencias Ciudadanas","Bogotá",4306,"Historia","Humanidades",189
"SABER PRO - 2019",140,"Inglés","Medellín",5516,"Ingenieria Civil","Ingeniería",184
"SABER PRO - 2019",63,"Inglés","Bogotá",3033,"Medicina Veterinaria","Ciencias Agropecuarias",191
"SABER PRO - 2019",128,"Comunicación Escrita","Manizales",1767,"Administracion De Empresas","Administración Y Afines",147
"SABER PRO - 2019",69,"Competencias Ciudadanas","Bogotá",3666,"Ingenieria Industrial","Ingeniería",184
"SABER PRO - 2019",43,"Inglés","Bogotá",186,"Cine Y Television","Bellas Artes Y Diseño",199
"SABER PRO - 2019",62,"Competencias Ciudadanas","Palmira",4789,"Ingenieria Agronomica","Ciencias Agropecuarias",150
"SABER PRO - 2019",107,"Lectura Crítica","Bogotá",5551,"Administracion De Empresas","Administración Y Afines",187
"SABER PRO - 2019",41,"Inglés","Medellín",4808,"Ingenieria Biologica","Ciencias Naturales Y Exactas",197
"SABER PRO - 2019",62,"Razonamiento Cuantitativo","Bogotá",3668,"Trabajo Social","Ciencias Sociales",161
"SABER PRO - 2019",37,"Competencias Ciudadanas","Manizales",5245,"Ingenieria Fisica","Ciencias Naturales Y Exactas",157
"SABER PRO - 2019",90,"Competencias Ciudadanas","Manizales",1348,"Ingenieria Civil","Ingeniería",159
"SABER PRO - 2019",105,"Competencias Ciudadanas","Bogotá",2644,"Ingenieria De Sistemas","Ingeniería",180
"SABER PRO - 2019",94,"Formulación De Proyectos De Ingeniería","Bogotá",5101,"Ingenieria Electrica","Ingeniería",171
"SABER PRO - 2019",50,"Pensamiento Científico - Ciencias Biológicas","Bogotá",3761,"Ingenieria Agricola","Ingeniería",173
"SABER PRO - 2019",46,"Razonamiento Cuantitativo","Manizales",6883,"Administracion De Sistemas Informáticos","Ingeniería",169
"SABER PRO - 2019",12,"Inglés","Manizales",95,"Matematicas","Ciencias Naturales Y Exactas",180
"SABER PRO - 2019",56,"Comunicación Escrita","Bogotá",4304,"Estadistica","Ciencias Naturales Y Exactas",155
"SABER PRO - 2019",62,"Lectura Crítica","Bogotá",6948,"Sociologia","Ciencias Sociales",200
"SABER PRO - 2019",45,"Lectura Crítica","Bogotá",1920,"Musica Instrumental","Bellas Artes Y Diseño",162
"SABER PRO - 2019",50,"Comunicación Escrita","Manizales",2214,"Ingenieria Industrial","Ingeniería",151
"SABER PRO - 2019",67,"Inglés","Bogotá",2208,"Odontologia","Salud",181
"SABER PRO - 2019",21,"Razonamiento Cuantitativo","Bogotá",4166,"Fonoaudiologia","Salud",168
"SABER PRO - 2019",51,"Pensamiento Científico - Ciencias Biológicas","Medellín",2555,"Ingenieria Ambiental","Ingeniería",160
"SABER PRO - 2019",123,"Competencias Ciudadanas","Bogotá",6811,"Derecho","Derecho",204
"SABER PRO - 2019",33,"Razonamiento Cuantitativo","Palmira",6535,"Diseño Industrial","Bellas Artes Y Diseño",159
"SABER PRO - 2019",46,"Inglés","Bogotá",1054,"Filosofia","Humanidades",196
"SABER PRO - 2019",32,"Pensamiento Científico - Ciencias Biológicas","Medellín",2766,"Ingenieria Forestal","Ingeniería",159
"SABER PRO - 2019",127,"Competencias Ciudadanas","Bogotá",905,"Ingenieria Civil","Ingeniería",181
"SABER PRO - 2019",114,"Razonamiento Cuantitativo","Bogotá",5552,"Economia","Economía",197
"SABER PRO - 2019",69,"Competencias Ciudadanas","Bogotá",2645,"Nutricion Y Dietetica","Salud",171
"SABER PRO - 2019",34,"Competencias Ciudadanas","Medellín",1053,"Ingenieria De Control","Ingeniería",150
"SABER PRO - 2019",45,"Comunicación Escrita","Bogotá",1920,"Musica Instrumental","Bellas Artes Y Diseño",146
"SABER PRO - 2019",63,"Razonamiento Cuantitativo","Bogotá",3033,"Medicina Veterinaria","Ciencias Agropecuarias",183
"SABER PRO - 2019",68,"Razonamiento Cuantitativo","Medellín",868,"Ingenieria De Minas Y Metalurgia","Ingeniería",201
"SABER PRO - 2019",43,"Razonamiento Cuantitativo","Bogotá",186,"Cine Y Television","Bellas Artes Y Diseño",176
"SABER PRO - 2019",32,"Lectura Crítica","Medellín",2766,"Ingenieria Forestal","Ingeniería",165
"SABER PRO - 2019",68,"Pensamiento Científico - Ciencias De La Tierra","Medellín",868,"Ingenieria De Minas Y Metalurgia","Ingeniería",174
"SABER PRO - 2019",61,"Inglés","Bogotá",3084,"Geologia","Ciencias Naturales Y Exactas",199
"SABER PRO - 2019",107,"Competencias Ciudadanas","Bogotá",5551,"Administracion De Empresas","Administración Y Afines",181
"SABER PRO - 2019",190,"Atención En Salud","Bogotá",5658,"Medicina","Medicina",194
"SABER PRO - 2019",120,"Lectura Crítica","Bogotá",1469,"Farmacia","Salud",188
"SABER PRO - 2019",104,"Gestión De Organizaciones","Bogotá",5551,"Administracion De Empresas","Administración Y Afines",197
"SABER PRO - 2019",128,"Competencias Ciudadanas","Manizales",1767,"Administracion De Empresas","Administración Y Afines",160
"SABER PRO - 2019",61,"Pensamiento Científico - Ciencias Físicas","Manizales",1768,"Ingenieria Electronica","Ingeniería",144
"SABER PRO - 2019",43,"Comunicación Escrita","Bogotá",186,"Cine Y Television","Bellas Artes Y Diseño",150
"SABER PRO - 2019",12,"Competencias Ciudadanas","Manizales",95,"Matematicas","Ciencias Naturales Y Exactas",148
"SABER PRO - 2019",16,"Competencias Ciudadanas","Medellín",5177,"Ingenieria Agricola","Ingeniería",159
"SABER PRO - 2019",91,"Razonamiento Cuantitativo","Medellín",3179,"Ingenieria Administrativa","Administración Y Afines",201
"SABER PRO - 2019",70,"Lectura Crítica","Bogotá",3139,"Ingenieria Agronomica","Ciencias Agropecuarias",176
"SABER PRO - 2019",38,"Inglés","Palmira",3728,"Ingenieria Agricola","Ingeniería",152
"SABER PRO - 2019",17,"Pensamiento Científico - Ciencias Biológicas","Medellín",6510,"Ingenieria Agronomica","Ciencias Agropecuarias",158
"SABER PRO - 2019",61,"Razonamiento Cuantitativo","Medellín",4644,"Ingenieria Electrica","Ingeniería",204
"SABER PRO - 2019",28,"Comunicación Escrita","Bogotá",3665,"Fisioterapia","Salud",171
"SABER PRO - 2019",51,"Comunicación Escrita","Medellín",2555,"Ingenieria Ambiental","Ingeniería",164
"SABER PRO - 2019",81,"Proyecto De Arquitectura","Medellín",4643,"Arquitectura","Arquitectura Y Urbanismo",137
"SABER PRO - 2019",61,"Competencias Ciudadanas","Medellín",4644,"Ingenieria Electrica","Ingeniería",172
"SABER PRO - 2019",62,"Razonamiento Cuantitativo","Palmira",4789,"Ingenieria Agronomica","Ciencias Agropecuarias",158
"SABER PRO - 2019",17,"Comunicación Escrita","Medellín",6510,"Ingenieria Agronomica","Ciencias Agropecuarias",136
"SABER PRO - 2019",90,"Formulación De Proyectos De Ingeniería","Manizales",1348,"Ingenieria Civil","Ingeniería",156
"SABER PRO - 2019",56,"Razonamiento Cuantitativo","Bogotá",468,"Ingenieria Electronica","Ingeniería",206
"SABER PRO - 2019",44,"Lectura Crítica","Bogotá",6444,"Matematicas","Ciencias Naturales Y Exactas",183
"SABER PRO - 2019",191,"Comunicación Escrita","Bogotá",5658,"Medicina","Medicina",163
"SABER PRO - 2019",123,"Investigación Jurídica","Bogotá",6811,"Derecho","Derecho",191
"SABER PRO - 2019",68,"Comunicación Escrita","Bogotá",467,"Contaduria Publica","Contaduría Y Afines",159
"SABER PRO - 2019",68,"Razonamiento Cuantitativo","Bogotá",467,"Contaduria Publica","Contaduría Y Afines",191
"SABER PRO - 2019",124,"Diseño De Obras De Infraestructura","Bogotá",905,"Ingenieria Civil","Ingeniería",184
"SABER PRO - 2019",116,"Lectura Crítica","Bogotá",185,"Ciencia Política","Ciencias Sociales",192
"SABER PRO - 2019",17,"Competencias Ciudadanas","Medellín",6510,"Ingenieria Agronomica","Ciencias Agropecuarias",164
"SABER PRO - 2019",67,"Atención En Salud","Bogotá",2645,"Nutricion Y Dietetica","Salud",194
"SABER PRO - 2019",90,"Pensamiento Científico - Ciencias Físicas","Manizales",1348,"Ingenieria Civil","Ingeniería",144
"SABER PRO - 2019",101,"Razonamiento Cuantitativo","Bogotá",6810,"Arquitectura","Arquitectura Y Urbanismo",185
