"EXAMEN","CANTIDADEVALUADOS","NOMBRE_SEDE","ID_PROGRAMA_ACAD","NOMBRE_PROGRAMA_ACAD","NOMBRE_GRUPOREF","FACULTAD","n","Competencias ciudadanas","Comunicación escrita","Lectura crítica","Razonamiento cuantitativo","Inglés"
"SABER PRO - 2019",67,"Manizales",2655,"Arquitectura","Arquitectura y urbanismo","Ingeniería Y Arquitectura",739,162,145,173,172,174
"SABER PRO - 2019",81,"Manizales",4686,"Ingenieria electrica","Ingeniería","Ingeniería Y Arquitectura",875,155,141,154,186,169
"SABER PRO - 2019",128,"Manizales",1767,"Administracion de empresas","Administración y afines","Administración",249,160,147,167,164,164
"SABER PRO - 2019",37,"Manizales",5245,"Ingenieria fisica","Ciencias naturales y exactas","Ciencias Exactas Y Naturales",220,157,149,154,191,168
"SABER PRO - 2019",90,"Manizales",1348,"Ingenieria civil","Ingeniería","Ingeniería Y Arquitectura",909,159,144,170,199,178
"SABER PRO - 2019",46,"Manizales",6883,"Administracion de sistemas informaticos","Ingeniería","Administración",474,148,150,158,169,165
"SABER PRO - 2019",12,"Manizales",95,"Matematicas","Ciencias naturales y exactas","Ciencias Exactas Y Naturales",85,148,150,165,198,180
"SABER PRO - 2019",50,"Manizales",2214,"Ingenieria industrial","Ingeniería","Ingeniería Y Arquitectura",861,163,151,182,183,179
"SABER PRO - 2019",63,"Manizales",1768,"Ingenieria electronica","Ingeniería","Ingeniería Y Arquitectura",629,155,0,165,188,180
"SABER PRO - 2019",20,"Manizales",3181,"Gestion cultural y comunicativa","Ciencias sociales","Administración",187,164,137,173,155,161
"SABER PRO - 2019",65,"Manizales",5627,"Ingenieria quimica","Ingeniería","Ingeniería Y Arquitectura",507,163,138,175,188,175
"SABER PRO - 2019",62,"Manizales",1768,"Ingenieria electronica","Ingeniería","Ingeniería Y Arquitectura",629,0,139,0,0,0
