"EXAMEN","CANTIDADEVALUADOS","NOMBRE_SEDE","ID_PROGRAMA_ACAD","NOMBRE_PROGRAMA_ACAD","NOMBRE_GRUPOREF","FACULTAD","Competencias ciudadanas","Comunicación escrita","Lectura crítica","Razonamiento cuantitativo","Inglés"
"SABER PRO - 2019",40,"Medellín",1916,"Construccion","Arquitectura y urbanismo","Arquitectura",154,137,157,189,176
"SABER PRO - 2019",51,"Medellín",2555,"Ingenieria ambiental","Ingeniería","Minas",181,164,183,196,185
"SABER PRO - 2019",9,"Medellín",521,"Matematicas","Ciencias naturales y exactas","Ciencias",148,149,174,191,178
"SABER PRO - 2019",68,"Medellín",868,"Ingenieria de minas y metalurgia","Ingeniería","Minas",166,152,173,201,182
"SABER PRO - 2019",83,"Medellín",4643,"Arquitectura","Arquitectura y urbanismo","Arquitectura",162,143,177,177,186
"SABER PRO - 2019",43,"Medellín",3786,"Ingenieria fisica","Ciencias naturales y exactas","Ciencias",167,146,175,203,191
"SABER PRO - 2019",53,"Medellín",3787,"Ciencia politica","Ciencias sociales","Ciencias humanas y económicas",192,150,191,165,182
"SABER PRO - 2019",140,"Medellín",5516,"Ingenieria civil","Ingeniería","Minas",171,149,181,212,184
"SABER PRO - 2019",41,"Medellín",4808,"Ingenieria biologica","Ciencias naturales y exactas","Ciencias",176,160,189,205,197
"SABER PRO - 2019",34,"Medellín",1053,"Ingenieria de control","Ingeniería","Minas",150,158,170,205,185
"SABER PRO - 2019",32,"Medellín",2766,"Ingenieria forestal","Ingeniería","Ciencias agrarias",158,148,165,183,172
"SABER PRO - 2019",16,"Medellín",5177,"Ingenieria agricola","Ingeniería","Ciencias agrarias",159,144,163,185,162
"SABER PRO - 2019",91,"Medellín",3179,"Ingenieria administrativa","Administración y afines","Minas",178,158,186,201,183
"SABER PRO - 2019",61,"Medellín",4644,"Ingenieria electrica","Ingeniería","Minas",172,149,170,204,186
"SABER PRO - 2019",17,"Medellín",6510,"Ingenieria agronomica","Ciencias agropecuarias","Ciencias agrarias",164,136,167,179,166
"SABER PRO - 2019",26,"Medellín",4303,"Artes plasticas","Bellas artes y diseño","Arquitectura",153,142,166,150,186
"SABER PRO - 2019",35,"Medellín",5602,"Ingenieria de petroleos","Ingeniería","Minas",181,169,187,214,191
"SABER PRO - 2019",20,"Medellín",6355,"Zootecnia","Ciencias agropecuarias","Ciencias agrarias",160,135,155,174,0
"SABER PRO - 2019",57,"Medellín",5517,"Ingenieria de sistemas e informatica","Ingeniería","Minas",172,147,181,202,196
"SABER PRO - 2019",61,"Medellín",118,"Ingenieria quimica","Ingeniería","Minas",177,156,186,203,185
"SABER PRO - 2019",42,"Medellín",1917,"Historia","Humanidades","Ciencias humanas y económicas",179,153,193,157,177
"SABER PRO - 2019",23,"Medellín",183,"Estadistica","Ciencias naturales y exactas","Ciencias",167,140,173,188,178
"SABER PRO - 2019",78,"Medellín",5063,"Ingenieria geologica","Ciencias naturales y exactas","Minas",170,150,176,198,186
"SABER PRO - 2019",68,"Medellín",5064,"Ingenieria industrial","Ingeniería","Minas",169,155,177,199,185
"SABER PRO - 2019",79,"Medellín",428,"Ingenieria mecanica","Ingeniería","Minas",176,158,185,210,196
"SABER PRO - 2019",30,"Medellín",29,"Economia","Economía","Ciencias humanas y económicas",190,147,186,181,192
"SABER PRO - 2019",19,"Medellín",6355,"Zootecnia","Ciencias agropecuarias","Ciencias agrarias",0,0,0,0,160
