"EXAMEN","CANTIDADEVALUADOS","NOMBRE_SEDE","ID_PROGRAMA_ACAD","NOMBRE_PROGRAMA_ACAD","NOMBRE_GRUPOREF","FACULTAD","n","Competencias Ciudadanas","Comunicación Escrita","Análisis De Problemáticas Psicológicas","Lectura Crítica","Razonamiento Cuantitativo","Formulación De Proyectos De Ingeniería","Pensamiento Científico - Ciencias Biológicas","Pensamiento Científico - Ciencias Físicas","Formar","Diseño De Procesos Industriales","Estudio Proyectual","Atención En Salud","Pensamiento Científico - Matemáticas Y Estadística","Investigación En Ciencias Sociales","Pensamiento Científico - Química","Gestión Financiera","Inglés","Pensamiento Científico - Ciencias De La Tierra","Gestión De Organizaciones","Proyecto De Arquitectura","Investigación Jurídica","Diseño De Obras De Infraestructura","Diseño De Sistemas De Manejo Del Impacto Ambiental","Enseñar","Diseño De Software","Diagnóstico Y Tratamiento En Salud Oral","Formulación, Evaluación Y Gestión De Proyectos","Promoción De La Salud Y Prevención De La Enfermedad","Diseño De Sistemas Mecánicos","Fundamentación En Diagnóstico Y Tratamiento Médicos","Diseño De Sistemas, Procesos Y Productos Agroindustriales","Generación De Artefactos","Análisis Económico","Producción Pecuaria","Intervención En Procesos Sociales","Información Y Control Contable","Producción Agrícola","Diseño De Sistemas De Control","Cuidado De Enfermería En Los Ámbitos Clínico Y Comunitario","Evaluar","Salud Y Bienestar Animal","Diseño De Sistemas Productivos Y Logísticos","Comunicación Jurídica","Gestión Del Conflicto"
"SABER PRO - 2019",67,"Manizales",2655,"Arquitectura","Arquitectura Y Urbanismo","Ingeniería Y Arquitectura",739,162,145,NA,173,172,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,174,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",40,"Medellín",1916,"Construccion","Arquitectura Y Urbanismo","Arquitectura",336,154,137,NA,157,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",104,"Bogotá",55,"Psicologia","Psicología","Ciencias Humanas",1134,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",51,"Medellín",2555,"Ingenieria Ambiental","Ingeniería","Minas",173,181,164,NA,183,196,170,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",84,"Bogotá",3667,"Ingenieria Mecanica","Ingeniería","Ingeniería",900,177,NA,NA,185,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",81,"Manizales",4686,"Ingenieria Electrica","Ingeniería","Ingeniería Y Arquitectura",875,155,141,NA,154,186,163,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",53,"Bogotá",468,"Ingenieria Electronica","Ingeniería","Ingeniería",745,NA,NA,NA,NA,NA,162,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",67,"Bogotá",2208,"Odontologia","Salud","Odontología",850,167,146,NA,178,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",51,"Bogotá",3761,"Ingenieria Agricola","Ingeniería","Ingeniería",391,170,157,NA,175,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SABER PRO - 2019",9,"Medellín",521,"Matematicas","Ciencias Naturales Y Exactas","Ciencias",124,148,149,NA,174,191,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
