"YEAR","TIPO_NIVEL","DEP_NAC","CIU_NAC","SEDE_NOMBRE_MAT","n","codigos","codsede"
2009,"Postgrado","ANTIOQUIA","ABEJORRAL","SEDE MEDELLIN  ",3,"05-002","s_medellin  "
2009,"Postgrado","ANTIOQUIA","AMALFI","SEDE MEDELLIN  ",1,"05-031","s_medellin  "
2009,"Postgrado","ANTIOQUIA","ANDES","SEDE MEDELLIN  ",1,"05-034","s_medellin  "
2009,"Postgrado","ANTIOQUIA","ANGELOPOLIS","SEDE MEDELLIN  ",1,"05-036","s_medellin  "
2009,"Postgrado","ANTIOQUIA","ARMENIA","SEDE BOGOTA  ",2,"05-059","s_bogota  "
2009,"Postgrado","ANTIOQUIA","ARMENIA","SEDE MEDELLIN  ",1,"05-059","s_medellin  "
2009,"Postgrado","ANTIOQUIA","BARBOSA","SEDE BOGOTA  ",1,"05-079","s_bogota  "
2009,"Postgrado","ANTIOQUIA","BELLO","SEDE MEDELLIN  ",2,"05-088","s_medellin  "
2009,"Postgrado","ANTIOQUIA","CAROLINA","SEDE MEDELLIN  ",1,"05-150","s_medellin  "
2009,"Postgrado","ANTIOQUIA","CISNEROS","SEDE MEDELLIN  ",4,"05-190","s_medellin  "
2009,"Postgrado","ANTIOQUIA","DONMATIAS","SEDE MEDELLIN  ",1,"05-237","s_medellin  "
2009,"Postgrado","ANTIOQUIA","EL BAGRE","SEDE MEDELLIN  ",1,"05-250","s_medellin  "
2009,"Postgrado","ANTIOQUIA","ENVIGADO","SEDE MEDELLIN  ",1,"05-266","s_medellin  "
2009,"Postgrado","ANTIOQUIA","GRANADA","SEDE BOGOTA  ",2,"05-313","s_bogota  "
2009,"Postgrado","ANTIOQUIA","GUARNE","SEDE MEDELLIN  ",1,"05-318","s_medellin  "
2009,"Postgrado","ANTIOQUIA","HELICONIA","SEDE MEDELLIN  ",1,"05-347","s_medellin  "
2009,"Postgrado","ANTIOQUIA","ITAGUI","SEDE MEDELLIN  ",3,"05-360","s_medellin  "
2009,"Postgrado","ANTIOQUIA","ITUANGO","SEDE MEDELLIN  ",1,"05-361","s_medellin  "
2009,"Postgrado","ANTIOQUIA","JERICO","SEDE BOGOTA  ",1,"05-368","s_bogota  "
2009,"Postgrado","ANTIOQUIA","LA CEJA","SEDE MANIZALES  ",1,"05-376","s_manizales  "
2009,"Postgrado","ANTIOQUIA","LA UNION","SEDE BOGOTA  ",1,"05-400","s_bogota  "
2009,"Postgrado","ANTIOQUIA","LA UNION","SEDE MEDELLIN  ",1,"05-400","s_medellin  "
2009,"Postgrado","ANTIOQUIA","MARINILLA","SEDE MEDELLIN  ",1,"05-440","s_medellin  "
2009,"Postgrado","ANTIOQUIA","MEDELLIN","SEDE BOGOTA  ",10,"05-001","s_bogota  "
2009,"Postgrado","ANTIOQUIA","MEDELLIN","SEDE MANIZALES  ",2,"05-001","s_manizales  "
2009,"Postgrado","ANTIOQUIA","MEDELLIN","SEDE MEDELLIN  ",145,"05-001","s_medellin  "
2009,"Postgrado","ANTIOQUIA","PUERTO BERRIO","SEDE MEDELLIN  ",1,"05-579","s_medellin  "
2009,"Postgrado","ANTIOQUIA","REMEDIOS","SEDE MEDELLIN  ",1,"05-604","s_medellin  "
2009,"Postgrado","ANTIOQUIA","RIONEGRO","SEDE MEDELLIN  ",1,"05-615","s_medellin  "
2009,"Postgrado","ANTIOQUIA","SALGAR","SEDE MEDELLIN  ",1,"05-642","s_medellin  "
2009,"Postgrado","ANTIOQUIA","SAN ANDRES DE CUERQUIA","SEDE BOGOTA  ",2,"05-647","s_bogota  "
2009,"Postgrado","ANTIOQUIA","SANTO DOMINGO","SEDE MEDELLIN  ",1,"05-690","s_medellin  "
2009,"Postgrado","ANTIOQUIA","SONSON","SEDE MEDELLIN  ",1,"05-756","s_medellin  "
2009,"Postgrado","ANTIOQUIA","TAMESIS","SEDE MEDELLIN  ",1,"05-789","s_medellin  "
2009,"Postgrado","ANTIOQUIA","TITIRIBI","SEDE MEDELLIN  ",1,"05-809","s_medellin  "
2009,"Postgrado","ANTIOQUIA","URRAO","SEDE BOGOTA  ",1,"05-847","s_bogota  "
2009,"Postgrado","ANTIOQUIA","URRAO","SEDE MEDELLIN  ",1,"05-847","s_medellin  "
2009,"Postgrado","ANTIOQUIA","ZARAGOZA","SEDE MEDELLIN  ",1,"05-895","s_medellin  "
2009,"Postgrado","ARAUCA","ARAUCA","SEDE BOGOTA  ",2,"81-001","s_bogota  "
2009,"Postgrado","ARAUCA","CRAVO NORTE","SEDE BOGOTA  ",2,"81-220","s_bogota  "
2009,"Postgrado","ATLANTICO","BARRANQUILLA","SEDE BOGOTA  ",7,"08-001","s_bogota  "
2009,"Postgrado","ATLANTICO","BARRANQUILLA","SEDE MEDELLIN  ",2,"08-001","s_medellin  "
2009,"Postgrado","ATLANTICO","JUAN DE ACOSTA","SEDE BOGOTA  ",1,"08-372","s_bogota  "
2009,"Postgrado","BOGOTA D.C","BOGOTA D.C.","SEDE AMAZONIA  ",2,"11-001","s_amazonia  "
2009,"Postgrado","BOGOTA D.C","BOGOTA D.C.","SEDE BOGOTA  ",479,"11-001","s_bogota  "
2009,"Postgrado","BOGOTA D.C","BOGOTA D.C.","SEDE MEDELLIN  ",4,"11-001","s_medellin  "
2009,"Postgrado","BOGOTA D.C","BOGOTA D.C.","SEDE PALMIRA  ",1,"11-001","s_palmira  "
2009,"Postgrado","BOLIVAR","CARTAGENA DE INDIAS","SEDE BOGOTA  ",11,"13-001","s_bogota  "
2009,"Postgrado","BOLIVAR","CARTAGENA DE INDIAS","SEDE MEDELLIN  ",2,"13-001","s_medellin  "
2009,"Postgrado","BOLIVAR","MAGANGUE","SEDE BOGOTA  ",1,"13-430","s_bogota  "
2009,"Postgrado","BOYACA","CHIQUINQUIRA","SEDE BOGOTA  ",4,"15-176","s_bogota  "
2009,"Postgrado","BOYACA","CHITARAQUE","SEDE BOGOTA  ",1,"15-185","s_bogota  "
2009,"Postgrado","BOYACA","CUCAITA","SEDE BOGOTA  ",1,"15-224","s_bogota  "
2009,"Postgrado","BOYACA","DUITAMA","SEDE BOGOTA  ",7,"15-238","s_bogota  "
2009,"Postgrado","BOYACA","EL COCUY","SEDE BOGOTA  ",1,"15-244","s_bogota  "
2009,"Postgrado","BOYACA","FIRAVITOBA","SEDE BOGOTA  ",1,"15-272","s_bogota  "
2009,"Postgrado","BOYACA","GAMEZA","SEDE BOGOTA  ",1,"15-296","s_bogota  "
2009,"Postgrado","BOYACA","GARAGOA","SEDE BOGOTA  ",3,"15-299","s_bogota  "
2009,"Postgrado","BOYACA","GUACAMAYAS","SEDE BOGOTA  ",1,"15-317","s_bogota  "
2009,"Postgrado","BOYACA","GUATEQUE","SEDE BOGOTA  ",1,"15-322","s_bogota  "
2009,"Postgrado","BOYACA","GUAYATA","SEDE BOGOTA  ",1,"15-325","s_bogota  "
2009,"Postgrado","BOYACA","MONGUA","SEDE BOGOTA  ",1,"15-464","s_bogota  "
2009,"Postgrado","BOYACA","PAIPA","SEDE BOGOTA  ",2,"15-516","s_bogota  "
2009,"Postgrado","BOYACA","PAJARITO","SEDE BOGOTA  ",1,"15-518","s_bogota  "
2009,"Postgrado","BOYACA","PAZ DE RIO","SEDE BOGOTA  ",1,"15-537","s_bogota  "
2009,"Postgrado","BOYACA","PESCA","SEDE MEDELLIN  ",1,"15-542","s_medellin  "
2009,"Postgrado","BOYACA","RAMIRIQUI","SEDE BOGOTA  ",1,"15-599","s_bogota  "
2009,"Postgrado","BOYACA","SAN MATEO","SEDE BOGOTA  ",1,"15-673","s_bogota  "
2009,"Postgrado","BOYACA","SANTA ROSA DE VITERBO","SEDE BOGOTA  ",2,"15-693","s_bogota  "
2009,"Postgrado","BOYACA","SOATA","SEDE BOGOTA  ",3,"15-753","s_bogota  "
2009,"Postgrado","BOYACA","SOCHA","SEDE BOGOTA  ",1,"15-757","s_bogota  "
2009,"Postgrado","BOYACA","SOGAMOSO","SEDE BOGOTA  ",12,"15-759","s_bogota  "
2009,"Postgrado","BOYACA","TENZA","SEDE BOGOTA  ",1,"15-798","s_bogota  "
2009,"Postgrado","BOYACA","TUNJA","SEDE BOGOTA  ",13,"15-001","s_bogota  "
2009,"Postgrado","BOYACA","TUNJA","SEDE MEDELLIN  ",4,"15-001","s_medellin  "
2009,"Postgrado","BOYACA","VENTAQUEMADA","SEDE BOGOTA  ",2,"15-861","s_bogota  "
2009,"Postgrado","CALDAS","AGUADAS","SEDE MEDELLIN  ",2,"17-013","s_medellin  "
2009,"Postgrado","CALDAS","CHINCHINA","SEDE BOGOTA  ",2,"17-174","s_bogota  "
2009,"Postgrado","CALDAS","CHINCHINA","SEDE MANIZALES  ",1,"17-174","s_manizales  "
