Region;Departamento
Andina;Antioquia
Andina;Boyaca
Andina;Caldas
Andina;Bogota D.C
Andina;Cundinamarca
Andina;Huila
Andina;Norte de santander
Andina;Quindio
Andina;Risaralda
Andina;Santander
Andina;Tolima
Caribe;Atlantico
Caribe;Bolivar
Caribe;Cesar
Caribe;Cordoba
Caribe;Magdalena
Caribe;Archipielago de san andres, providencia y santa catalina
Caribe;Sucre
Pacifica;Cauca
Pacifica;Choco
Pacifica;Nariño
Pacifica;Valle del cauca
Orinoquia;Arauca
Orinoquia;Casanare
Orinoquia;Meta
Orinoquia;Vichada
Amazonica;Amazonas
Amazonica;Caqueta
Amazonica;Guainia
Amazonica;Guaviare
Amazonica;Putumayo
Amazonica;Vaupes
