"CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","n"
"Abejorral","-75.428920421699999","5.7895399602399999",18
"Abrego","-73.221417432799996","8.0812041838099997",10
"Abriaqui","-76.063158265300004","6.6339560277",8
"Acacias","-73.765602343699996","3.9910140279599999",51
"Acandi","-77.2786180632","8.5109498958999996",2
"Acevedo","-76.038567474399997","1.6531151071200001",6
"Achi","-74.555491767999996","8.5678524303699994",119
"Agrado","-75.771049913900001","2.2600184409200001",1
"Agua de dios","-74.669545605500005","4.3758531334799997",6
"Aguachica","-73.601300449500002","8.3101209692900007",23
"Aguadas","-75.455726565000006","5.6126036827999997",50
"Aguazul","-72.552585337799997","5.1699854306399997",21
"Agustin codazzi","-73.237431448600006","10.0403645547",28
"Aipe","-75.241143602099996","3.2235632387500002",6
"Alban","-74.436698859800003","4.8760822692900003",8
"Albania","-758786522147","132903377181",1
"Alcala","-75.775661460799995","4.6739418992899999",4
"Aldana","-77.700374818499995","0.88224359638000005",20
"Alejandria","-75.143097412399996","6.3744738015299998",9
"Algeciras","-75.315694651900003","2.5225559049899999",13
"Almaguer","-76.852817410100002","1.9152537752700001",7
"Alpujarra","-74.932566289600004","3.39179995739",11
"Altamira","-75.788655589699999","2.0634089054800002",2
"Alto baudo","-76.975714730999997","5.5154800390899998",4
"Alvarado","-74.952151753799996","4.5681646210900002",5
"Amaga","-75.707663808080795","6.0326518277960997",32
"Amalfi","-75.073147583999997","6.9088742895699999",28
"Ambalema","-74.761798613799996","4.78538612936",1
"Anapoima","-74.530669206900001","4.5629975897200001",4
"Ancuya","-77.514611571900005","1.2624506226800001",40
"Andalucia","-76.164666370999996","4.17671561529",10
"Andes","-75.879251018999994","5.6568846954399996",45
"Angelopolis","-75.708330775999997","6.1118803376099997",8
"Angostura","-75.334947988799996","6.8853661929400003",9
"Anolaima","-74.463780650299995","4.7616611678499998",11
"Anori","-75.148399900200005","7.0780083333199997",17
"Anserma","-75.783996582300006","5.2380738296500002",40
"Ansermanuevo","-75.991605189599994","4.7932231454699998",2
"Anza","-75.853713331999998","6.3022304684300003",4
"Anzoategui","-75.093283826100006","4.6328466970399997",5
"Apartado","-76.626185972399995","7.8827166962200002",72
"Apia","-75.941059972999994","5.1061188186999997",5
"Apulo","-74.589297477200006","4.5279601233499998",4
"Aquitania","-72.884350515099996","5.5183103889099998",7
"Aracataca","-74.185859020400002","10.5906724298",35
"Aranzazu","-75.490777311100004","5.2713043849299996",39
"Arauca","-70.762773048","7.0777365019699996",233
"Arauquita","-71.4276395909","7.02931365346",25
"Arbelaez","-74.416084012499994","4.2722598915500001",21
"Arboleda","-77.135449686699999","1.5034220598400001",3
"Arboledas","-72.798834000799999","7.6426906647599999",3
"Arboletes","-76.426680404799995","8.8500062659599994",15
"Arcabuco","-73.4396912192","5.7566144716799998",2
"Argelia","-77.255090913299995","2.3251402700599999",15
"Ariguani","-74.236215559499996","9.8473724010700003",1
"Arjona","-75.345527596300002","10.2572499523",5
"Armenia","-75.676245409399996","4.5380533161900001",270
"Armero","-74.884169344","5.0290004580599996",1
"Armero guayabal","-74.884169344","5.0290004580599996",14
"Astrea","-73.975390025400003","9.4953343531299996",1
"Ataco","-75.382454022499999","3.5911648672999998",7
"Atrato","-76.636181973199996","5.5311325201699999",1
"Ayapel","-75.147011637899993","8.3111319614199992",12
"Bagado","-76.415960274","5.4117154208900002",2
"Bahia solano","-77.403773096400002","6.2244703848",6
"Bajo baudo","-77.364317909999997","4.9539490299900004",5
"Balboa","-77.216541210299994","2.0413935585799998",2
