"PROGRAMA","FACULTAD","TIPO_NIVEL","SEDE_NOMBRE_ADM","2009","2019"
"Administracion","Ciencias económicas","Postgrado","Bogotá",20,32
"Administracion De Empresas","Ciencias económicas","Pregrado","Bogotá",128,95
"Alimentación Y Nutrición En Promoción De La Salud","Medicina","Postgrado","Bogotá",9,16
"Analisis De Politicas Publicas","Derecho, ciencias políticas y sociales","Postgrado","Bogotá",30,34
"Anatomopatologia Veterinaria","Medicina veterinaria y de zootecnia","Postgrado","Bogotá",1,0
"Anestesiología Y Reanimación","Medicina","Postgrado","Bogotá",3,3
"Animacion","Artes","Postgrado","Bogotá",14,18
"Antropologia","Ciencias humanas","Postgrado","Bogotá",12,11
"Antropologia","Ciencias humanas","Pregrado","Bogotá",61,76
"Antropologia Forense","Ciencias humanas","Postgrado","Bogotá",2,0
"Arquitectura","Artes","Postgrado","Bogotá",2,15
"Arquitectura","Artes","Pregrado","Bogotá",96,99
"Artes Plasticas","Artes","Pregrado","Bogotá",54,34
"Artes Plásticas Y Visuales","Artes","Postgrado","Bogotá",1,13
"Astronomia","Ciencias","Postgrado","Bogotá",2,3
"Automatizacion Industrial","Ingeniería","Postgrado","Bogotá",1,0
"Biologia","Ciencias","Postgrado","Bogotá",32,25
"Biologia","Ciencias","Pregrado","Bogotá",58,93
"Bioquimica","Ciencias","Postgrado","Bogotá",7,14
"Bioquimica","Medicina","Postgrado","Bogotá",3,8
"Ciencia Política","Derecho, ciencias políticas y sociales","Pregrado","Bogotá",88,124
"Ciencia Y Tecnología De Alimentos","Ciencias","Postgrado","Bogotá",30,0
"Ciencias Agrarias","Ciencias agrarias","Postgrado","Bogotá",20,26
"Ciencias Economicas","Ciencias económicas","Postgrado","Bogotá",38,41
"Ciencias Farmaceuticas","Ciencias","Postgrado","Bogotá",2,16
"Cine Y Television","Artes","Pregrado","Bogotá",34,25
"Cirugia General","Medicina","Postgrado","Bogotá",6,5
"Cirugia Oral Y Maxilofacial","Odontología","Postgrado","Bogotá",3,4
"Cirugia Plastica","Medicina","Postgrado","Bogotá",2,1
"Construccion","Artes","Postgrado","Bogotá",6,11
"Contaduria Publica","Ciencias económicas","Pregrado","Bogotá",151,73
"Cultivos Perennes Industriales","Ciencias agrarias","Postgrado","Bogotá",18,0
"Derecho","Derecho, ciencias políticas y sociales","Postgrado","Bogotá",19,51
"Derecho","Derecho, ciencias políticas y sociales","Pregrado","Bogotá",55,125
"Derecho Administrativo","Derecho, ciencias políticas y sociales","Postgrado","Bogotá",276,138
"Derecho Constitucional","Derecho, ciencias políticas y sociales","Postgrado","Bogotá",142,99
"Derecho De Familia","Derecho, ciencias políticas y sociales","Postgrado","Bogotá",104,58
"Derecho Del Trabajo","Derecho, ciencias políticas y sociales","Postgrado","Bogotá",23,99
