"PROGRAMA","FACULTAD","TIPO_NIVEL","SEDE_NOMBRE_MAT","2009","2019"
"Arquitectura","Arquitectura","Pregrado","Medellín",77,68
"Artes Plasticas","Arquitectura","Pregrado","Medellín",22,31
"Ciencia Política","Ciencias humanas y económicas","Pregrado","Medellín",57,42
"Construccion","Arquitectura","Pregrado","Medellín",18,35
"Economia","Ciencias humanas y económicas","Pregrado","Medellín",33,23
"Estadistica","Ciencias","Pregrado","Medellín",7,31
"Historia","Ciencias humanas y económicas","Pregrado","Medellín",43,34
"Ingenieria Administrativa","Minas","Pregrado","Medellín",85,66
"Ingenieria Agricola","Ciencias agrarias","Pregrado","Medellín",7,26
"Ingenieria Agronomica","Ciencias agrarias","Pregrado","Medellín",33,31
"Ingenieria Biologica","Ciencias","Pregrado","Medellín",55,45
"Ingenieria Civil","Minas","Pregrado","Medellín",99,108
"Ingenieria De Control","Minas","Pregrado","Medellín",23,22
"Ingenieria De Minas Y Metalurgia","Minas","Pregrado","Medellín",27,51
"Ingenieria De Petroleos","Minas","Pregrado","Medellín",46,59
"Ingenieria De Sistemas E Informatica","Minas","Pregrado","Medellín",46,39
"Ingenieria Electrica","Minas","Pregrado","Medellín",27,44
"Ingenieria Fisica","Ciencias","Pregrado","Medellín",24,24
"Ingenieria Forestal","Ciencias agrarias","Pregrado","Medellín",35,62
"Ingenieria Geologica","Minas","Pregrado","Medellín",14,66
"Ingenieria Industrial","Minas","Pregrado","Medellín",76,71
"Ingenieria Mecanica","Minas","Pregrado","Medellín",62,54
"Ingenieria Quimica","Minas","Pregrado","Medellín",51,89
"Matematicas","Ciencias","Pregrado","Medellín",11,14
"Zootecnia","Ciencias agrarias","Pregrado","Medellín",55,34
