"PROGRAMA","FACULTAD","NIVEL","SEDE_NOMBRE_MAT","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Administracion","Administración","Maestría","Manizales",8,25,39,26,29,25,31,45,35,30,17,12
"Administracion","Ciencias económicas","Maestría","Bogotá",20,0,44,37,53,80,49,47,42,37,32,13
"Administracion De Empresas","Ciencias económicas","Pregrado","Bogotá",128,0,125,99,69,83,105,136,114,124,103,56
"Administracion De Empresas","Ingeniería y administración","Pregrado","Palmira",61,0,35,36,39,27,27,52,55,68,50,18
"Administración De Empresas (Diurno)","Administración","Pregrado","Manizales",142,0,82,79,71,66,37,0,0,81,61,35
"Administración De Sistemas Informáticos","Administración","Pregrado","Manizales",77,0,48,44,41,35,38,45,49,38,42,16
"Alimentación Y Nutrición En Promoción De La Salud","Medicina","Especialización","Bogotá",9,0,9,12,8,10,15,10,15,14,16,8
"Analisis De Politicas Publicas","Derecho, ciencias políticas y sociales","Especialización","Bogotá",30,0,39,14,19,42,26,34,30,27,34,31
"Anatomopatologia Veterinaria","Medicina veterinaria y de zootecnia","Especialidades Médicas","Bogotá",1,0,0,4,3,2,2,0,0,3,0,0
"Anestesiología Y Reanimación","Medicina","Especialidades Médicas","Bogotá",3,0,3,3,3,3,2,3,5,5,3,6
"Animacion","Artes","Especialización","Bogotá",14,0,17,1,0,17,10,18,16,14,18,0
"Antropologia","Ciencias humanas","Maestría","Bogotá",12,0,6,10,4,9,4,16,5,2,6,0
"Antropologia","Ciencias humanas","Pregrado","Bogotá",61,0,58,64,57,70,69,110,78,70,79,47
"Antropologia Forense","Ciencias humanas","Especialización","Bogotá",2,0,0,0,0,0,0,0,0,0,0,0
"Arquitectura","Arquitectura","Pregrado","Medellín",77,204,67,39,61,72,89,84,103,43,67,32
"Arquitectura","Artes","Maestría","Bogotá",2,0,6,10,15,9,12,7,2,7,15,3
"Arquitectura","Artes","Pregrado","Bogotá",96,0,106,86,118,96,92,104,92,68,99,33
"Arquitectura","Ingeniería y arquitectura","Pregrado","Manizales",70,0,62,48,65,71,80,91,88,60,62,42
"Artes Plasticas","Arquitectura","Pregrado","Medellín",22,0,18,25,20,28,26,16,16,15,30,18
"Artes Plasticas","Artes","Pregrado","Bogotá",54,0,52,55,41,38,36,51,47,58,34,23
"Artes Plásticas Y Visuales","Artes","Maestría","Bogotá",1,0,2,14,4,3,13,0,24,1,13,11
"Astronomia","Ciencias","Maestría","Bogotá",2,0,2,8,2,6,5,6,3,5,3,1
"Automatizacion Industrial","Ingeniería","Especialización","Bogotá",1,0,1,1,0,0,0,0,0,0,0,0
"Biologia","Ciencias","Doctorado","Bogotá",2,0,6,2,7,7,5,5,14,8,6,3
"Biologia","Ciencias","Maestría","Bogotá",30,0,42,25,23,27,39,28,31,24,19,8
"Biologia","Ciencias","Pregrado","Bogotá",58,0,78,77,64,59,74,71,107,103,99,38
"Bioquimica","Ciencias","Maestría","Bogotá",7,0,8,8,5,8,10,6,6,9,11,3
