"YEAR","TIPO_NIVEL","DEP_NAC","CIU_NAC","SEDE_NOMBRE_MAT","n","coddepto","codmpio","codsede"
2009,"Postgrado","ANTIOQUIA","ABEJORRAL","SEDE MEDELLIN  ",3,"05",473,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","AMALFI","SEDE MEDELLIN  ",1,"05",251,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","ANDES","SEDE MEDELLIN  ",1,"05",504,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","ANGELOPOLIS","SEDE MEDELLIN  ",1,"05",414,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","ARMENIA","SEDE BOGOTA  ",2,"05",405,"s_bogota  "
2009,"Postgrado","ANTIOQUIA","ARMENIA","SEDE MEDELLIN  ",1,"05",405,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","BARBOSA","SEDE BOGOTA  ",1,"05",352,"s_bogota  "
2009,"Postgrado","ANTIOQUIA","BELLO","SEDE MEDELLIN  ",2,"05",369,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","CAROLINA","SEDE MEDELLIN  ",1,"05",300,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","CISNEROS","SEDE MEDELLIN  ",4,"05",338,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","DONMATIAS","SEDE MEDELLIN  ",1,"05",341,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","EL BAGRE","SEDE MEDELLIN  ",1,"05",195,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","ENVIGADO","SEDE MEDELLIN  ",1,"05",412,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","GRANADA","SEDE BOGOTA  ",2,"05",408,"s_bogota  "
2009,"Postgrado","ANTIOQUIA","GUARNE","SEDE MEDELLIN  ",1,"05",391,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","HELICONIA","SEDE MEDELLIN  ",1,"05",397,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","ITAGUI","SEDE MEDELLIN  ",3,"05",411,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","ITUANGO","SEDE MEDELLIN  ",1,"05",244,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","JERICO","SEDE BOGOTA  ",1,"05",479,"s_bogota  "
2009,"Postgrado","ANTIOQUIA","LA CEJA","SEDE MANIZALES  ",1,"05",442,"s_manizales  "
2009,"Postgrado","ANTIOQUIA","LA UNION","SEDE BOGOTA  ",1,"05",445,"s_bogota  "
2009,"Postgrado","ANTIOQUIA","LA UNION","SEDE MEDELLIN  ",1,"05",445,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","MARINILLA","SEDE MEDELLIN  ",1,"05",404,"s_medellin  "
2009,"Postgrado","ANTIOQUIA","MEDELLIN","SEDE BOGOTA  ",10,"05",378,"s_bogota  "
